жесты
я
хотеть
для
нужно
это
как
узнавать
сколько
карта
мочь
пользоваться
она
получать
какой
документ
стоп
добро
день
открывать
отличный
что
готовить
делать
мочь
до
нужно
деньга
здравствуйте
до свидание
привет
ты
мать
вы/твой/ваш
мой/наш
звать
банк
работать
друг
спасибо
утро
вечер
почему
любовь
учить
думать
учить
быть
всё
человек
смотреть
говорить
вопрос
идти
дом
хороший
плохо
no_event
